,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
0,0,0,100,Random,0,0,0.0,0.0,0.0
1,1,0,100,Random,250,2476,800.0,372.86990366756805,427.13009633243195
2,2,0,100,Random,500,2461,794.0,234.21782638589912,559.7821736141009
3,3,0,100,Random,750,2455,800.0,338.5673746818403,461.4326253181597
4,4,0,100,Random,1000,2493,798.0,365.7064496534611,432.2935503465389
5,5,0,100,Random,1250,2438,798.0,289.216667281143,508.783332718857
6,6,0,100,Random,1500,2434,798.0,265.6796587451467,532.3203412548532
7,7,0,100,Random,1750,2496,800.0,342.59995629031573,457.40004370968427
8,8,0,100,Random,2000,2456,801.4700096432016,256.96277013098074,544.5072395122208
9,9,0,100,Random,2250,0,51.01193212917351,0.0,51.01193212917351
10,10,0,100,Random,2500,2500,800.0,800.0,0.0
11,11,0,100,Simultaneous,0,0,0.0,0.0,0.0
12,12,0,100,Simultaneous,250,0,11.189403973509936,0.0,11.189403973509936
13,13,0,100,Simultaneous,500,12,661.0225680933852,0.0,661.0225680933852
14,14,0,100,Simultaneous,750,20,675.0,0.0,675.0
15,15,0,100,Simultaneous,1000,0,58.08411238407466,0.0,58.08411238407466
16,16,0,100,Simultaneous,1250,20,778.6389843166542,0.0,778.6389843166542
17,17,0,100,Simultaneous,1500,0,122.01052631578948,0.0,122.01052631578948
18,18,0,100,Simultaneous,1750,2100,800.0,31.171077975548524,768.8289220244515
19,19,0,100,Simultaneous,2000,2136,800.0,63.505877383264576,736.4941226167355
20,20,0,100,Simultaneous,2250,1992,800.0,143.19090808040897,656.8090919195911
21,21,0,100,Simultaneous,2500,2500,800.0,800.0,0.0
22,22,1,100,Random,0,0,0.0,0.0,0.0
23,23,1,100,Random,250,2473,800.0,368.1087173882742,431.8912826117258
24,24,1,100,Random,500,2448,800.0,186.86447694529454,613.1355230547055
25,25,1,100,Random,750,2484,798.0,367.141377061429,430.858622938571
26,26,1,100,Random,1000,0,42.201265413938586,0.0,42.201265413938586
27,27,1,100,Random,1250,2435,799.0,321.4219828600618,477.5780171399382
28,28,1,100,Random,1500,2454,798.0,265.5774739721747,532.4225260278254
29,29,1,100,Random,1750,0,30.861246612466125,0.0,30.861246612466125
30,30,1,100,Random,2000,0,35.21052631578948,0.0,35.21052631578948
31,31,1,100,Random,2250,2460,800.0,312.59249395947523,487.40750604052477
32,32,1,100,Random,2500,2500,800.0,800.0,0.0
33,33,1,100,Simultaneous,0,0,0.0,0.0,0.0
34,34,1,100,Simultaneous,250,0,11.30212765957447,0.0,11.30212765957447
35,35,1,100,Simultaneous,500,0,187.5946076086505,0.0,187.5946076086505
36,36,1,100,Simultaneous,750,0,60.43512590296014,0.0,60.43512590296014
37,37,1,100,Simultaneous,1000,175,800.0,0.0,800.0
38,38,1,100,Simultaneous,1250,33,798.0,0.0,798.0
39,39,1,100,Simultaneous,1500,30,796.0,0.0,796.0
40,40,1,100,Simultaneous,1750,2104,800.0,51.666578353835625,748.3334216461644
41,41,1,100,Simultaneous,2000,2134,800.0,36.684502937905876,763.3154970620941
42,42,1,100,Simultaneous,2250,1946,800.0,19.224967148270267,780.7750328517297
43,43,1,100,Simultaneous,2500,2500,800.0,800.0,0.0
